,artist,number,orig_ds,orig_fname,title,duration
342,Otis Redding,0502,Billboard,0502\salami_chords.txt,I've Been Loving You Too Long (To Stop Now),196
343,Marky Mark & The Funky Bunch,0503,Billboard,0503\salami_chords.txt,Good Vibrations,270
344,Steve Miller Band,0504,Billboard,0504\salami_chords.txt,The Joker,219
345,Engelbert Humperdinck,0506,Billboard,0506\salami_chords.txt,After the Lovin',236
346,Commodores,0507,Billboard,0507\salami_chords.txt,Still,228
347,Elvis Presley,0508,Billboard,0508\salami_chords.txt,For Ol' Times Sake,218
348,B.B. King,0510,Billboard,0510\salami_chords.txt,How Blue Can You Get,163
349,Bertha Tillman,0511,Billboard,0511\salami_chords.txt,Oh My Angel,142
350,The Rolling Stones,0512,Billboard,0512\salami_chords.txt,Going To A Go-Go,203
351,Etta James,0515,Billboard,0515\salami_chords.txt,Fool That I Am,178
352,Nat King Cole,0516,Billboard,0516\salami_chords.txt,Those Lazy-Hazy-Crazy Days Of Summer,145
353,George Harrison,0517,Billboard,0517\salami_chords.txt,Years Ago,227
354,"Crosby, Stills & Nash",0518,Billboard,0518\salami_chords.txt,Suite,449
355,Digital Underground,0521,Billboard,0521\salami_chords.txt,The Humpty Dance,388
356,Candi Staton,0522,Billboard,0522\salami_chords.txt,Young Hearts Run Free,222
357,Tina Turner,0524,Billboard,0524\salami_chords.txt,Private Dancer,434
358,Led Zeppelin,0525,Billboard,0525\salami_chords.txt,Trampled Under Foot,335
359,Pet Shop Boys,0526,Billboard,0526\salami_chords.txt,Love Comes Quickly,259
360,Tommy James,0528,Billboard,0528\salami_chords.txt,Crystal Blue Persuasion,245
361,Tracie Spencer,0530,Billboard,0530\salami_chords.txt,This House,307
362,Kate Bush,0531,Billboard,0531\salami_chords.txt,Running Up That Hill,301
363,James Brown,0533,Billboard,0533\salami_chords.txt,Baby You're Right,179
364,R Dean Tayloy,0537,Billboard,0537\salami_chords.txt,Indiana Wants Me,191
365,Cheap Trick,0539,Billboard,0539\salami_chords.txt,Stop This Game,238
366,Billy Preston,0540,Billboard,0540\salami_chords.txt,With You I'm Born Again,222
367,Wham!,0542,Billboard,0542\salami_chords.txt,Wake Me Up Before You Go-Go,234
368,Elvis Presley,0543,Billboard,0543\salami_chords.txt,If I Can Dream,192
369,Jackson Browne,0545,Billboard,0545\salami_chords.txt,Redneck Friend,241
370,The Trammps,0546,Billboard,0546\salami_chords.txt,Disco Inferno,217
371,Michael Johnson,0547,Billboard,0547\salami_chords.txt,Almost by Being In Love,234
372,Swingin' Medallions,0549,Billboard,0549\salami_chords.txt,Double Shot (Of My Baby's Love),138
373,Peaches and Herb,0550,Billboard,0550\salami_chords.txt,Shake Your Groove Thing,333
374,Patrick Hernandez,0552,Billboard,0552\salami_chords.txt,Born To Be Alive,215
375,Michael Sembello,0553,Billboard,0553\salami_chords.txt,Maniac,253
376,The Moments,0554,Billboard,0554\salami_chords.txt,Walk Right In,139
377,Cheap Trick,0555,Billboard,0555\salami_chords.txt,Surrender,256
378,Dolly Parton,0559,Billboard,0559\salami_chords.txt,Baby I'm Burnin',158
379,Simon & Garfunkel,0560,Billboard,0560\salami_chords.txt,Cecilia,177
380,Jackson Browne,0561,Billboard,0561\salami_chords.txt,Boulevard,201
381,Etta James,0562,Billboard,0562\salami_chords.txt,Fool That I Am,178
382,Elvis Presley,0565,Billboard,0565\salami_chords.txt,Judy,132
383,Roxette,0567,Billboard,0567\salami_chords.txt,The Look,238
384,Roxy,0568,Billboard,0568\salami_chords.txt,Dance Away,227
385,Dave Dudley,0570,Billboard,0570\salami_chords.txt,Six Days On The Road,144
386,Gary U.S. Bonds,0571,Billboard,0571\salami_chords.txt,Quarter To Three,151
387,Baltimora,0572,Billboard,0572\salami_chords.txt,"Tarzan Boy (From ""Teenage Mutant Ninja Turtles III"")",232
388,Al Green,0573,Billboard,0573\salami_chords.txt,"Oh Me, Oh My (Dreams In My Arms)",167
389,Chicago,0574,Billboard,0574\salami_chords.txt,Along Comes A Woman,229
390,Canned Heat,0577,Billboard,0577\salami_chords.txt,Let's work Together,170
391,Anita Baker,0578,Billboard,0578\salami_chords.txt,Giving You the Best That I Got,261
392,The Yardbirds,0579,Billboard,0579\salami_chords.txt,Heart Full of Soul,149
393,The Falcons,0580,Billboard,0580\salami_chords.txt,I Found A Love,179
394,The Miracles,0582,Billboard,0582\salami_chords.txt,I Don't Blame You At All,192
395,Ben E. King,0583,Billboard,0583\salami_chords.txt,Amor,185
396,Clarence Carter,0585,Billboard,0585\salami_chords.txt,Too Weak To Fight,138
397,The Righteous Brothers,0587,Billboard,0587\salami_chords.txt,Unchained Melody,218
398,Queen,0588,Billboard,0588\salami_chords.txt,We Are The Champions,183
399,"Crosby, Stills & Nash",0589,Billboard,0589\salami_chords.txt,Southern Cross,281
400,Chico DeBarge,0590,Billboard,0590\salami_chords.txt,Talk to me,233
401,Eagles,0591,Billboard,0591\salami_chords.txt,The Long Run,222
402,Duran Duran,0592,Billboard,0592\salami_chords.txt,All she wants is,267
403,Yaz,0594,Billboard,0594\salami_chords.txt,Situation,347
404,Gladys Knight & The Pips,0596,Billboard,0596\salami_chords.txt,Letter Full of Tears,166
405,Rolling Stones,0597,Billboard,0597\salami_chords.txt,Time Is On My Side,179
406,Irma Thomas,0598,Billboard,0598\salami_chords.txt,Wish Someone Would Care,134
407,Alice Cooper,0599,Billboard,0599\salami_chords.txt,Hey Stoopid,275
408,Baltimora,0600,Billboard,0600\salami_chords.txt,"Tarzan Boy (From ""Teenage Mutant Ninja Turtles III"")",232
409,Billy Swan,0601,Billboard,0601\salami_chords.txt,I Can Help,178
410,Santo & Johnny,0603,Billboard,0603\salami_chords.txt,Sleep Walk,143
411,B.B. King,0605,Billboard,0605\salami_chords.txt,The Thrill Is Gone,244
412,Tom D Hall,0606,Billboard,0606\salami_chords.txt,I Love,126
413,Carl Carlton,0607,Billboard,0607\salami_chords.txt,Everlasting Love,155
414,Quarterflash,0608,Billboard,0608\salami_chords.txt,Harden My Heart,218
415,Kiss,0610,Billboard,0610\salami_chords.txt,Rocket Ride,247
416,Sly And The Family Stone,0614,Billboard,0614\salami_chords.txt,I want to take you higher,324
417,Nick Gilder,0615,Billboard,0615\salami_chords.txt,Hot Child in the City,189
418,Mrs. Robinson,0616,Billboard,0616\salami_chords.txt,Simon & Garfunkel,245
419,Elvis Presley,0617,Billboard,0617\salami_chords.txt,His Latest Flame,129
420,Dean Martin,0618,Billboard,0618\salami_chords.txt,Everybody Loves Somebody,162
421,Marvin Gaye & Tammy Terrell,0619,Billboard,0619\salami_chords.txt,If I Could Build My Whole World Around You,146
422,Rod Stewart,0620,Billboard,0620\salami_chords.txt,Twisting the Night Away,199
423,Ray Parker Jr,0621,Billboard,0621\salami_chords.txt,Ghostbusters Theme,247
424,Glen Campbell,0623,Billboard,0623\salami_chords.txt,It's Only Make Believe,147
425,Stevie Wonder,0625,Billboard,0625\salami_chords.txt,Higher Ground,228
426,Bonnie Raitt,0627,Billboard,0627\salami_chords.txt,Nick of Time,233
427,Wilson Phillips,0628,Billboard,0628\salami_chords.txt,Hold On,221
428,Michael Jackson,0629,Billboard,0629\salami_chords.txt,Beat It,258
429,Stevie Wonder,0631,Billboard,0631\salami_chords.txt,If You really love me,180
430,Daryl Hall & John Oates,0633,Billboard,0633\salami_chords.txt,Maneater,274
431,Beastie Boys,0634,Billboard,0634\salami_chords.txt,Brass Monkey,159
432,Jan & Dean,0635,Billboard,0635\salami_chords.txt,Little Old Lady From Pasadena,167
433,Engelbert Humperdinck,0636,Billboard,0636\salami_chords.txt,After the Lovin',236
434,Michael Jackson,0637,Billboard,0637\salami_chords.txt,Human Nature,246
435,Johnny Tillotson,0638,Billboard,0638\salami_chords.txt,Out Of My Mind,157
436,James Brown,0640,Billboard,0640\salami_chords.txt,Think,166
437,The Music Machine,0643,Billboard,0643\salami_chords.txt,The People In Me,172
438,Otis Redding,0645,Billboard,0645\salami_chords.txt,(Sittin' On) The Dock Of The Bay,165
439,Anita Baker,0647,Billboard,0647\salami_chords.txt,Caught Up In The Rapture,318
440,Pet Shop Boys,0648,Billboard,0648\salami_chords.txt,What Have I Done To Deserve This?,260
441,The Supremes,0649,Billboard,0649\salami_chords.txt,Stoned Love,182
442,Louis Armstrong,0650,Billboard,0650\salami_chords.txt,Hello Dolly,148
443,The Weather Girls,0651,Billboard,0651\salami_chords.txt,It's Raining Men,209
444,Soft Cell,0654,Billboard,0654\salami_chords.txt,Tainted Love,161
445,Eric Carmen,0655,Billboard,0655\salami_chords.txt,Sunrise,321
446,Dr. Hook,0656,Billboard,0656\salami_chords.txt,Years From Now,196
447,Corey Hart,0657,Billboard,0657\salami_chords.txt,In Your Soul,235
448,Elvis Presley,0658,Billboard,0658\salami_chords.txt,Ask Me,128
449,Quarterflash,0659,Billboard,0659\salami_chords.txt,Harden My Heart,218
450,Heart,0660,Billboard,0660\salami_chords.txt,There's the Girl,235
451,The J. Geils Band,0662,Billboard,0662\salami_chords.txt,Looking For A Love,228
452,Pointer Sisters,0663,Billboard,0663\salami_chords.txt,He's so shy,220
453,The J. Geils Band,0664,Billboard,0664\salami_chords.txt,Looking For A Love,228
454,Joni Mitchell,0668,Billboard,0668\salami_chords.txt,Big Yellow Taxi,168
455,Roger Miller,0669,Billboard,0669\salami_chords.txt,You Can't Roller Skate In A Buffalo Herd,112
456,Queensryche,0670,Billboard,0670\salami_chords.txt,Silent Lucidity,348
457,The Kendalls,0671,Billboard,0671\salami_chords.txt,Heaven's Just A Sin Away,145
458,Jackie Wilson,0672,Billboard,0672\salami_chords.txt,Baby Workout,231
459,The Fireballs,0674,Billboard,0674\salami_chords.txt,Sugar Shack,124
460,Joe Cocker,0675,Billboard,0675\salami_chords.txt,With A Little Help From My Friends,193
461,Wilson Pickett,0677,Billboard,0677\salami_chords.txt,Don't Knock My Love - Pt. 1,145
462,Otis Redding,0678,Billboard,0678\salami_chords.txt,Chained And Bound,161
463,George Harrison,0680,Billboard,0680\salami_chords.txt,Years Ago,227
464,U2,0681,Billboard,0681\salami_chords.txt,With Or Without You,296
465,Looking Glass,0682,Billboard,0682\salami_chords.txt,Brandy,188
466,Stevie Wonder,0683,Billboard,0683\salami_chords.txt,That Girl,314
467,Chicago,0684,Billboard,0684\salami_chords.txt,Feelin' Stronger Every Day,254
468,Queensryche,0685,Billboard,0685\salami_chords.txt,Silent Lucidity,348
469,INXS,0687,Billboard,0687\salami_chords.txt,Need You Tonight,190
470,Canned Heat,0688,Billboard,0688\salami_chords.txt,On The Road Again,303
471,Jan & Dean,0689,Billboard,0689\salami_chords.txt,"The Anaheim, Azusa & Cucamonga Sewing Circle, Book Review And Timing Association",165
472,Juice Newton,0690,Billboard,0690\salami_chords.txt,Queen Of Hearts,210
473,The Neville Brothers,0691,Billboard,0691\salami_chords.txt,Tell It Like It Is,267
474,Rita Coolidge,0692,Billboard,0692\salami_chords.txt,Fever,210
475,Jackson Browne,0695,Billboard,0695\salami_chords.txt,Boulevard,201
476,Brenda Lee,0696,Billboard,0696\salami_chords.txt,Too Many Rivers,172
477,Jeff Beck,0698,Billboard,0698\salami_chords.txt,People Get Ready,296
478,Bachman-Turner Overdrive,0699,Billboard,0699\salami_chords.txt,Heartaches,234
479,Chicago,0700,Billboard,0700\salami_chords.txt,Does Anybody Really Know What Time It Is,200
480,Billy Idol,0701,Billboard,0701\salami_chords.txt,White Wedding,253
481,Gladys Knight & The Pips,0705,Billboard,0705\salami_chords.txt,Baby Don't Change Your Mind,195
482,Jethro Tull,0706,Billboard,0706\salami_chords.txt,Living In The Past,203
483,Rod Bernard,0707,Billboard,0707\salami_chords.txt,This Should Go On Forever,165
484,Daryl Hall & John Oates,0708,Billboard,0708\salami_chords.txt,Sara Smile,186
485,Anita Baker,0709,Billboard,0709\salami_chords.txt,Caught Up In The Rapture,318
486,John Denver,0711,Billboard,0711\salami_chords.txt,Some Days Are Diamonds (Some Days Are Stone),243
487,Jerry Reed,0713,Billboard,0713\salami_chords.txt,Ko-Ko Joe,155
488,Commodores,0716,Billboard,0716\salami_chords.txt,Lady (You Bring Me Up),241
489,John Denver,0720,Billboard,0720\salami_chords.txt,Rocky Mountain High,286
490,Little River Band,0721,Billboard,0721\salami_chords.txt,Help Is On The Way,242
491,Dinah Washington,0722,Billboard,0722\salami_chords.txt,Where Are You,136
492,Badfinger,0723,Billboard,0723\salami_chords.txt,Maybe Tomorrow,169
493,Ray Price,0725,Billboard,0725\salami_chords.txt,For The Good Times,230
494,Etta James,0726,Billboard,0726\salami_chords.txt,Would It Make Any Difference To You,159
495,The Beatles,0727,Billboard,0727\salami_chords.txt,Eight Days A Week,164
496,Neil Sedaka,0728,Billboard,0728\salami_chords.txt,Breaking Up Is Hard To Do,139
497,Psychedelic Furs,0729,Billboard,0729\salami_chords.txt,Pretty In Pink,280
498,Elvis Presley,0730,Billboard,0730\salami_chords.txt,His Latest Flame,129
499,Kenny Rogers,0731,Billboard,0731\salami_chords.txt,Lucille,223
500,The Everly Brothers,0733,Billboard,0733\salami_chords.txt,Bird Dog,137
501,Dean Martin,0734,Billboard,0734\salami_chords.txt,I Will,143
502,Earth Wind and Fire,0735,Billboard,0735\salami_chords.txt,Getaway,226
503,Stevie Wonder,0736,Billboard,0736\salami_chords.txt,Do I Do,629
504,Andy Gibb,0737,Billboard,0737\salami_chords.txt,Shadow Dancing,274
505,Cliff Richard,0740,Billboard,0740\salami_chords.txt,Living Doll,159
506,Pat Benatar,0741,Billboard,0741\salami_chords.txt,Love Is A Battlefield,251
507,Snap,0742,Billboard,0742\salami_chords.txt,The Power,221
508,Blondie,0743,Billboard,0743\salami_chords.txt,One Way or Another,208
509,Louis Prima & Keely Smith,0746,Billboard,0746\salami_chords.txt,That Old Black Magic,177
510,Tracy Chapman,0747,Billboard,0747\salami_chords.txt,Baby Can I Hold You,194
511,Ray Charles,0748,Billboard,0748\salami_chords.txt,Crying Time,179
512,Led Zepplin,0749,Billboard,0749\salami_chords.txt,Dyer Maker,263
513,Ten Years After,0751,Billboard,0751\salami_chords.txt,I'd Love To Change The World,225
514,Elton John,0752,Billboard,0752\salami_chords.txt,Levon,322
515,Brownsville station,0755,Billboard,0755\salami_chords.txt,Smokin' In The Boys Room,179
516,Depeche Mode,0757,Billboard,0757\salami_chords.txt,World In My Eyes,240
517,Jimmy Buffett,0758,Billboard,0758\salami_chords.txt,Come Monday,189
518,Flatt & Scruggs,0759,Billboard,0759\salami_chords.txt,Foggy Mountain Breakdown,162
519,Dr. Hook,0761,Billboard,0761\salami_chords.txt,Walk Right In,184
520,Grand Funk Railroad,0762,Billboard,0762\salami_chords.txt,Walk Like A Man,245
521,Clarence Carter,0765,Billboard,0765\salami_chords.txt,Too Weak To Fight,138
522,Elvis Presley,0766,Billboard,0766\salami_chords.txt,Ask Me,128
523,Paper Lace,0767,Billboard,0767\salami_chords.txt,The Night Chicago Died,217
524,Stevie Wonder,0768,Billboard,0768\salami_chords.txt,That Girl,314
525,Cyndi Lauper,0769,Billboard,0769\salami_chords.txt,All Through The Night,270
526,The Cowsills,0770,Billboard,0770\salami_chords.txt,Hair,212
527,Paul McCartney,0772,Billboard,0772\salami_chords.txt,Press,283
528,Fats Domino,0773,Billboard,0773\salami_chords.txt,I Want To Walk You Home,142
529,Marc Cohn,0775,Billboard,0775\salami_chords.txt,Walking In Memphis,256
530,Chicago,0776,Billboard,0776\salami_chords.txt,Along Comes A Woman,229
531,Fontella Bass,0777,Billboard,0777\salami_chords.txt,Rescue Me,173
532,Charlie Rich,0779,Billboard,0779\salami_chords.txt,A Very Special Love Song,166
533,Rolling Stones,0780,Billboard,0780\salami_chords.txt,Time Is On My Side,179
534,The Drifters,0781,Billboard,0781\salami_chords.txt,On Broadway,180
535,Stevie B,0782,Billboard,0782\salami_chords.txt,Because I Love You,262
536,Nick Gilder,0783,Billboard,0783\salami_chords.txt,Hot Child in the City,189
537,The Righteous Brothers,0785,Billboard,0785\salami_chords.txt,Soul And Inspiration,189
538,Johnny Cash,0787,Billboard,0787\salami_chords.txt,The Ways Of A Woman In Love,137
539,Floyd Cramer,0788,Billboard,0788\salami_chords.txt,Last Date,150
540,Bruce Channel,0789,Billboard,0789\salami_chords.txt,Hey Baby,143
541,Brenda Lee,0790,Billboard,0790\salami_chords.txt,Everybody Loves Me but You,154
542,Eric Carmen,0791,Billboard,0791\salami_chords.txt,Hungry Eyes,248
543,Chuck Berry,0792,Billboard,0792\salami_chords.txt,Almost Grown,141
544,Elvis Presley,0793,Billboard,0793\salami_chords.txt,My Way,274
545,Billy Idol,0794,Billboard,0794\salami_chords.txt,Catch My Fall,222
546,Marvin Gaye,0795,Billboard,0795\salami_chords.txt,I Want You,239
547,Barry White,0796,Billboard,0796\salami_chords.txt,"You're The First, The Last, My Everything",204
548,Teddy Pendergrass,0797,Billboard,0797\salami_chords.txt,I Don't Love You Anymore,244
549,The Allman Brothers,0798,Billboard,0798\salami_chords.txt,Straight From The Heart,227
550,Heart,0800,Billboard,0800\salami_chords.txt,Magic Man,329
551,Waylon Jennings,0802,Billboard,0802\salami_chords.txt,Theme From The Dukes Of Hazzard,129
552,Cyndi Lauper,0803,Billboard,0803\salami_chords.txt,True Colors,228
553,"Earth, Wind & Fire",0804,Billboard,0804\salami_chords.txt,September,148
554,Jimmy Clanton,0805,Billboard,0805\salami_chords.txt,Just A Dream,152
555,Rita Coolidge,0806,Billboard,0806\salami_chords.txt,We're All Alone,220
556,Meat Loaf,0807,Billboard,0807\salami_chords.txt,You Took The Words Right Out Of My Mouth,290
557,The Everly Brothers,0809,Billboard,0809\salami_chords.txt,On The Wings Of A Nightingale,156
558,Poison,0810,Billboard,0810\salami_chords.txt,Unskinny Bop,229
559,Jermaine Jackson,0811,Billboard,0811\salami_chords.txt,Let's Get Serious,216
560,Rick James,0812,Billboard,0812\salami_chords.txt,Super Freak Part One,202
561,Leslie Gore,0813,Billboard,0813\salami_chords.txt,California Nights,170
562,Marty Robbins,0814,Billboard,0814\salami_chords.txt,Big Iron,237
563,Dion,0816,Billboard,0816\salami_chords.txt,Where Or When,160
564,David Bowie,0818,Billboard,0818\salami_chords.txt,Blue Jean,192
565,Marvin Gaye,0819,Billboard,0819\salami_chords.txt,Mercy Mercy Me (The Ecology),151
566,Cher,0821,Billboard,0821\salami_chords.txt,Just Like Jesse James,246
567,LaVern Baker,0822,Billboard,0822\salami_chords.txt,I Cried A Tear,156
568,Bill Withers,0823,Billboard,0823\salami_chords.txt,Lovely Day,247
569,Paul Simon,0824,Billboard,0824\salami_chords.txt,50 Ways To Leave Your Lover,195
570,Biz Markie,0827,Billboard,0827\salami_chords.txt,Just A Friend,241
571,The Amboy Dukes,0828,Billboard,0828\salami_chords.txt,Journey To The Center Of The Mind,215
572,Bob Seger & The Silver Bullet Band,0830,Billboard,0830\salami_chords.txt,Trying To Live My Life Without You,244
573,Dr. Hook,0831,Billboard,0831\salami_chords.txt,Sexy Eyes,213
574,Kenny Rogers,0832,Billboard,0832\salami_chords.txt,Through The Years,286
575,Paul Simon,0833,Billboard,0833\salami_chords.txt,You Can Call Me Al,281
576,Oliver,0834,Billboard,0834\salami_chords.txt,Good Morning Starshine,219
577,Anita Baker,0837,Billboard,0837\salami_chords.txt,Sweet Love,266
578,The Beach Boys,0838,Billboard,0838\salami_chords.txt,Surfin' Safari,129
579,Linda Ronstadt,0839,Billboard,0839\salami_chords.txt,When Will I Be Loved,125
580,Steppenwolf,0841,Billboard,0841\salami_chords.txt,Born To Be Wild,210
581,Elton John,0842,Billboard,0842\salami_chords.txt,Goodbye Yellow Brick Road,195
582,Cher,0843,Billboard,0843\salami_chords.txt,If I Could Turn Back Time,241
583,Talking Heads,0844,Billboard,0844\salami_chords.txt,Burning Down The House,241
584,George Harrison,0845,Billboard,0845\salami_chords.txt,I Got My Mind Set On You,235
585,Roxy,0846,Billboard,0846\salami_chords.txt,Dance Away,227
586,Bread,0847,Billboard,0847\salami_chords.txt,Sweet Surrender,157
587,The Castaways,0848,Billboard,0848\salami_chords.txt,"Liar, Liar",115
588,The Contours,0849,Billboard,0849\salami_chords.txt,Do You Love Me,174
589,The Pointer Sisters,0850,Billboard,0850\salami_chords.txt,Jump (for My Love),242
590,Creedence Clearwater Revival,0852,Billboard,0852\salami_chords.txt,Bad Moon Rising,133
591,The Beatles,0853,Billboard,0853\salami_chords.txt,I Saw Her Standing There,176
592,Hi-Five,0856,Billboard,0856\salami_chords.txt,I Like The Way (The Kissing Game),238
593,James Brown,0857,Billboard,0857\salami_chords.txt,Get Up (I Feel Like Being Like A) Sex Machine (Part 1),319
594,Nitty Gritty Dirt Band,0859,Billboard,0859\salami_chords.txt,Make A Little Magic,235
595,Judas Priest,0861,Billboard,0861\salami_chords.txt,You've Got Another Thing Comin',311
596,The String-A-Longs,0863,Billboard,0863\salami_chords.txt,Wheels,124
597,Oak Ridge Boys,0864,Billboard,0864\salami_chords.txt,Elvira,161
598,Rick Springfield,0865,Billboard,0865\salami_chords.txt,Don't Talk To Strangers,181
599,Talking Heads,0870,Billboard,0870\salami_chords.txt,And She Was,219
600,Freddy Fender,0872,Billboard,0872\salami_chords.txt,Secret Love,215
601,Johnny Horton,0873,Billboard,0873\salami_chords.txt,The Battle Of New Orleans,153
602,Donna Fargo,0874,Billboard,0874\salami_chords.txt,Superman,147
603,Elvis Presley,0875,Billboard,0875\salami_chords.txt,She Thinks I Still Care,232
604,Run-D.M.C.,0879,Billboard,0879\salami_chords.txt,Walk This Way,312
605,Police,0881,Billboard,0881\salami_chords.txt,Don't stand so close to me,243
606,Rockwell,0882,Billboard,0882\salami_chords.txt,Somebody s Watching Me,242
607,Metallica,0884,Billboard,0884\salami_chords.txt,One,444
608,UB40,0885,Billboard,0885\salami_chords.txt,The Way You Do The Things You Do,183
609,Wang Chung,0886,Billboard,0886\salami_chords.txt,Dance Hall Days,240
610,De La Soul,0887,Billboard,0887\salami_chords.txt,Me Myself And I,221
611,Gladys Knight & The Pips,0888,Billboard,0888\salami_chords.txt,Baby Don't Change Your Mind,195
612,Steve Winwood,0889,Billboard,0889\salami_chords.txt,Don t You Know What The Night Can Do,415
613,Ray Charles,0890,Billboard,0890\salami_chords.txt,Let's Go Get Stoned,184
614,The Who,0891,Billboard,0891\salami_chords.txt,Happy Jack,132
615,Edwin Starr,0893,Billboard,0893\salami_chords.txt,War,209
616,Abba,0894,Billboard,0894\salami_chords.txt,On And On And On,222
617,Todd Rundgren,0895,Billboard,0895\salami_chords.txt,A Dream Goes On Forever,179
618,Leslie Gore,0896,Billboard,0896\salami_chords.txt,California Nights,170
619,Eric Clapton,0898,Billboard,0898\salami_chords.txt,I Can't Stand It,250
620,The Temptations,0900,Billboard,0900\salami_chords.txt,I Wish It Would Rain,174
621,James Taylor,0901,Billboard,0901\salami_chords.txt,Country Road,203
622,ABBA,0902,Billboard,0902\salami_chords.txt,Honey Honey,174
623,The Ronettes,0903,Billboard,0903\salami_chords.txt,Be My Baby,159
624,The Kinks,0904,Billboard,0904\salami_chords.txt,Till The End Of The Day,157
625,"Crosby, Stills & Nash",0905,Billboard,0905\salami_chords.txt,Teach Your Children,174
626,Neneh Cherry,0909,Billboard,0909\salami_chords.txt,Kisses On The Wind,237
627,REO Speedwagon,0910,Billboard,0910\salami_chords.txt,Time For Me To Fly,213
628,Wilson Phillips,0911,Billboard,0911\salami_chords.txt,Hold On,221
629,Milli Vanilli,0913,Billboard,0913\salami_chords.txt,Girl You Know It s True,253
630,Dr. Hook,0914,Billboard,0914\salami_chords.txt,If Not You,196
631,Bobby Womack,0915,Billboard,0915\salami_chords.txt,Sweet Caroline (Good Times Never Seemed So Good),190
632,Eric Clapton,0916,Billboard,0916\salami_chords.txt,Promises,181
633,Anne Murray,0917,Billboard,0917\salami_chords.txt,A Love Song,164
634,Billy Idol,0920,Billboard,0920\salami_chords.txt,Hot In The City,218
635,Elvis Presley,0923,Billboard,0923\salami_chords.txt,Judy,132
636,The Ritchie Family,0925,Billboard,0925\salami_chords.txt,The Best Disco In Town,194
637,The Ventures,0926,Billboard,0926\salami_chords.txt,Perfidia,126
638,Little Anthony & The Imperials,0927,Billboard,0927\salami_chords.txt,"Out Of Sight, Out Of Mind",160
639,Tommy James,0928,Billboard,0928\salami_chords.txt,Mony Mony,175
640,Rock And Hyde,0929,Billboard,0929\salami_chords.txt,Dirty Water,258
641,Cornelius Brothers & Sister Rose,0932,Billboard,0932\salami_chords.txt,Treat Her Like A Lady,166
642,Ray Charles,0933,Billboard,0933\salami_chords.txt,Eleanor Rigby,180
643,The Box Tops,0935,Billboard,0935\salami_chords.txt,Cry Like A Baby,155
644,Roberta Flack,0940,Billboard,0940\salami_chords.txt,Feel Like Making Love,177
645,Bob Seger,0941,Billboard,0941\salami_chords.txt,Like A Rock,355
646,Wilson Pickett,0943,Billboard,0943\salami_chords.txt,I Found A True Love,146
647,Dolly Parton,0944,Billboard,0944\salami_chords.txt,Starting Over Again,238
648,The Doors,0945,Billboard,0945\salami_chords.txt,Riders On The Storm,431
649,The Miracles,0946,Billboard,0946\salami_chords.txt,I Second That Emotion,168
650,Simon & Garfunkel,0947,Billboard,0947\salami_chords.txt,Fakin it,199
651,Chubby Checker,0948,Billboard,0948\salami_chords.txt,The Twist,156
652,Sonny & Cher,0950,Billboard,0950\salami_chords.txt,All I Ever Need Is You,160
653,Boston,0952,Billboard,0952\salami_chords.txt,Feelin' Satisfied,252
654,LaVern Baker,0954,Billboard,0954\salami_chords.txt,I Cried A Tear,156
655,The Allan Parsons Project,0956,Billboard,0956\salami_chords.txt,Eye In The Sky,239
656,The Rolling Stones,0958,Billboard,0958\salami_chords.txt,Miss You,289
657,Abba,0961,Billboard,0961\salami_chords.txt,Take A Chance On Me,242
658,Billy Squier,0963,Billboard,0963\salami_chords.txt,The Stroke,208
659,The Sopwith Camel,0964,Billboard,0964\salami_chords.txt,Hello Hello,145
660,Arthur Conley,0965,Billboard,0965\salami_chords.txt,Sweet Soul Music,143
661,George Benson,0967,Billboard,0967\salami_chords.txt,Breezin',342
662,Brenda Lee,0968,Billboard,0968\salami_chords.txt,Coming On Strong,125
663,Billy Joel,0969,Billboard,0969\salami_chords.txt,Don't Ask Me Why,179
664,David Bowie,0970,Billboard,0970\salami_chords.txt,Modern Love,289
665,Pat Benatar,0973,Billboard,0973\salami_chords.txt,Little Too Late,248
666,The Beach Boys,0974,Billboard,0974\salami_chords.txt,Kokomo (From The Cocktail Soundtrack),218
667,Isaac Hayes,0978,Billboard,0978\salami_chords.txt,The Look Of Love,674
668,Culture Club,0979,Billboard,0979\salami_chords.txt,Karma Chameleon,255
669,Bananarama,0981,Billboard,0981\salami_chords.txt,Venus,222
670,Natalie Cole,0982,Billboard,0982\salami_chords.txt,Unforgettable,193
671,Barbara Lewis,0984,Billboard,0984\salami_chords.txt,Hello Stranger,161
672,The Jacksons,0985,Billboard,0985\salami_chords.txt,Dancing Machine,158
673,Leo Sayer,0986,Billboard,0986\salami_chords.txt,You Make Me Feel Like Dancing,174
674,Dolly Parton,0987,Billboard,0987\salami_chords.txt,Baby I'm Burnin',158
675,Bread,0988,Billboard,0988\salami_chords.txt,If,156
676,The Yardbirds,0990,Billboard,0990\salami_chords.txt,Shapes Of Things,145
677,Elton John,0991,Billboard,0991\salami_chords.txt,The Bitch Is Back,218
678,The Commodores,0992,Billboard,0992\salami_chords.txt,Nightshift,265
679,Elvis Presley,0993,Billboard,0993\salami_chords.txt,There Goes My Everything,180
680,Laura Branigan,0995,Billboard,0995\salami_chords.txt,Gloria,234
681,Ike & Tina Turner,0996,Billboard,0996\salami_chords.txt,I Want To Take You Higher,173
682,Focus,0999,Billboard,0999\salami_chords.txt,Hocus Pocus,207
